REPO,SHA,CONFIG_PARAMETER,TEST_NAME,VALUE,TYPE(GOOD|BAD),EXPECTATION(PASS|FAIL)
https://github.com/apache/hadoop.git,a3b9c37a397ad4188041dd80621bdeefc46885f2,hadoop.security.dns.log-slow-lookups.enabled,org.apache.hadoop.conf.TestConfiguration#testSetSocketAddress,false,GOOD,PASS
https://github.com/apache/hadoop.git,a3b9c37a397ad4188041dd80621bdeefc46885f2,hadoop.security.dns.log-slow-lookups.enabled,org.apache.hadoop.conf.TestConfiguration#testSetSocketAddress,true,GOOD,PASS
https://github.com/apache/hadoop.git,a3b9c37a397ad4188041dd80621bdeefc46885f2,hadoop.zk.auth,org.apache.hadoop.util.curator.TestZKCuratorManager#testChildren,digest:wkz,GOOD,PASS
https://github.com/apache/hadoop.git,a3b9c37a397ad4188041dd80621bdeefc46885f2,hadoop.zk.auth,org.apache.hadoop.util.curator.TestZKCuratorManager#testChildren,digest:hdfs-zkfcs,GOOD,PASS
https://github.com/apache/hadoop.git,a3b9c37a397ad4188041dd80621bdeefc46885f2,hadoop.zk.auth,org.apache.hadoop.util.curator.TestZKCuratorManager#testChildren,"digest:wkz,digest:hdfs-zkfcs",GOOD,PASS
https://github.com/apache/hadoop.git,a3b9c37a397ad4188041dd80621bdeefc46885f2,hadoop.zk.auth,org.apache.hadoop.util.curator.TestZKCuratorManager#testChildren,scheme:auth,BAD,FAIL
https://github.com/apache/hadoop.git,a3b9c37a397ad4188041dd80621bdeefc46885f2,hadoop.zk.retry-interval-ms,org.apache.hadoop.util.curator.TestZKCuratorManager#testChildren,1000,GOOD,PASS
https://github.com/apache/hadoop.git,a3b9c37a397ad4188041dd80621bdeefc46885f2,hadoop.zk.retry-interval-ms,org.apache.hadoop.util.curator.TestZKCuratorManager#testChildren,2000,GOOD,PASS
https://github.com/apache/hadoop.git,a3b9c37a397ad4188041dd80621bdeefc46885f2,hadoop.zk.retry-interval-ms,org.apache.hadoop.util.curator.TestZKCuratorManager#testChildren,3000,GOOD,PASS
https://github.com/apache/hadoop.git,a3b9c37a397ad4188041dd80621bdeefc46885f2,hadoop.zk.retry-interval-ms,org.apache.hadoop.util.curator.TestZKCuratorManager#testChildren,abcd,BAD,FAIL
